country,eng, top 5 distance,temp,precipitation,sunshine,windy days,index_alcohol,index_religion,index_prices,index_cleanliness,index_safety
Netherlands,90.90,45.0,17.545555555555556,77.71641791044776,211.1449814126394,0.0038610038610038,8.7,33%,96.3,75.3,1.506
New Caledonia,,,20.68095238095238,246.6168224299065,177.2037037037037,0.3962264150943396,,,,,
New Zealand,97.82,,9.137954239569316,109.36747967479675,142.56132075471697,0.0,10.7,18%,105.1,71.3,1.253
Nicaragua,,,27.318181818181813,193.7878787878788,196.939393939394,,5.2,70%,36.3,39.2,2.445
Niger,,,30.088297872340444,254.5159574468085,240.7579737335835,1.2189542483660132,0.5,100%,,30.8,2.589
Nigeria,86.42,,26.77499999999999,190.26865671641792,157.7741935483871,2.862068965517241,13.4,69%,35.4,31.0,2.712
North Korea,,,22.478602620087354,263.1703056768559,148.5065502183406,0.0222222222222222,3.9,,,,2.923
North Macedonia,,,,,,,8.1,76%,42.4,55.4,1.744
Northern Mariana Islands,83.33,,,,,,,,,,
Norway,90,,11.95098963242225,74.09720885466795,213.1267605633803,0.0466200466200466,7.5,22%,113.2,77.7,1.438
Oman,,,32.98410438908658,110.05615292712066,192.39453125,4.958387516254876,0.8,90%,,38.5,1.982
Pakistan,9.1,,32.17044585987264,95.75769230769232,,0.050632911392405,0.3,92%,24.8,33.1,2.868
Palau,92.5,,27.770454545454548,384.2978723404256,,0.25,,,,,
Panama,14,,,,,,7.9,88%,,47.3,1.919
Papua New Guinea,49.76,,26.65263157894737,191.4803921568628,164.47706422018348,,1.2,,,32.4,2.149
Paraguay,,,18.247350230414742,59.27453142227122,183.5750452079566,0.0636160714285714,7.2,92%,38.6,46.4,1.997
People's Dem. Rep. Laos,,,27.994255874673623,369.0837696335079,135.46456692913387,,,,,,
Peru,,,21.09802197802196,1792.4413043478262,25.92105263157895,0.0,6.3,84%,,44.0,2.034
Philippines,58.2,,28.27244897959184,262.193838254172,180.4390243902439,0.4095860566448802,6.6,32%,41.0,38.4,2.417
Poland,37,,18.45705996131527,75.13926499032883,263.59498956158666,,11.6,50%,49.7,60.9,1.524
Portugal,27,44.0,22.028205128205133,678.8361344537815,263.05307262569835,,12.3,72%,74.4,67.0,1.267
Puerto Rico,48.61,,28.5962962962963,156.3148148148148,,0.15625,,,,,
Qatar,,,36.25263157894737,0.0,324.57894736842104,0.2222222222222222,2.0,86%,73.0,37.1,1.605
Romania,31,,21.76191155492156,111.10285714285716,278.88587731811697,0.009009009009009,12.6,84%,46.1,64.7,1.53
Russian Federation,11.85,80.0,14.983296703296675,166.85433818872704,211.35120532003324,0.0,11.7,34%,36.8,50.5,2.993
Rwanda,15,,,,,,9.0,95%,,33.8,2.028
Saint Vincent and the Grenadines,95,,,,,,8.2,,,48.4,
Samoa,49.86,,,,,,2.5,,,37.3,
Saudi Arabia,,,35.18768939393939,349.3384615384616,301.68831168831167,0.0,0.2,96%,45.1,44.0,2.376
Senegal,,,28.871177504393675,382.9172535211268,207.71209213051824,0.365,0.7,96%,40.7,30.7,1.864
Serbia,,,22.99307692307692,63.3,286.728,0.0317460317460317,11.1,54%,48.8,55.2,1.797
Seychelles,37.93,,26.64814814814815,103.51851851851852,228.75,0.0,13.8,,,58.2,
Sierra Leone,83.53,,,,,,5.7,,,25.7,1.813
Singapore,83.10,178.0,28.300000000000004,195.72222222222223,182.90740740740745,0.0,2.5,70%,74.8,58.1,1.347
Slovakia,26,,20.43333333333333,86.15104166666667,268.0104166666667,0.1180555555555555,11.5,47%,,68.3,1.557
Slovenia,59,,21.46296296296296,124.57407407407408,264.85185185185185,0.1071428571428571,12.6,47%,,72.0,1.315
Solomon Islands,31.68,,,,,,1.4,,,26.7,
South Africa,31,186.0,12.735277777777782,130.37883008356545,177.2556179775281,6.191977077363897,9.3,85%,42.4,43.1,2.344
South Korea,,,22.533388981636072,227.21640488656195,175.6823734729494,0.0138888888888888,10.2,33%,82.2,66.5,1.877
South Sudan,,,28.44545454545455,153.13636363636363,166.39772727272728,0.0,,,,,3.363
Spain,22,44.0,23.449982046678645,1557.860058309038,291.8038240917782,0.006087437742114,10.0,49%,81.1,74.3,1.621
Sri Lanka,62,,28.75443548387097,159.30923694779116,202.26415094339623,0.0,4.3,97%,31.8,39.0,2.083
St. Maarten,,,28.415909090909096,95.97727272727272,260.8048780487805,,,,,,
Sudan,,,31.915723270440274,677.8865069356873,227.6422628951747,0.1353846153846153,0.5,93%,,34.8,2.936
Suriname,87.09,,26.54666666666668,213.7,,0.0357142857142857,5.1,,,45.2,
Sweden,89,46.0,14.825396825396842,67.80172413793103,261.0157728706625,0.0,9.2,17%,102.5,78.7,1.46
Switzerland,61.28,,20.28444444444444,100.44444444444444,251.96444444444444,0.0,11.5,23%,141.1,81.5,1.323
Syrian Arab Republic,,,29.71851851851851,185.17791411042944,271.275,0.2325581395348837,0.3,89%,,,3.371
Taiwan,30,,28.666666666666668,170.8,230.9333333333333,0.3,,,,,
Tajikistan,,,28.547368421052635,1112.3454545454545,290.8,,3.3,85%,25.1,38.2,2.095
Tanzania,9.89,,22.882758620689653,35.85057471264368,266.05263157894734,,9.4,89%,,31.1,1.892
Thailand,27.16,,28.49847094801226,215.8256880733945,145.3111111111111,0.0612244897959183,8.3,98%,40.6,45.4,2.205
Timor-Leste,,,,,,,2.1,,41.9,35.3,1.873
Togo,,,25.9290780141844,195.57462686567163,139.67924528301887,0.0,3.1,80%,,29.5,2.239
Tonga,30,,,,,,1.5,,,45.1,
Trinidad and Tobago,87.74,,27.44761904761905,240.3809523809524,227.0487804878049,9.2,8.4,92%,,47.5,2.029
Tunesia,,,28.652049180327896,8.786610878661088,328.9917355371901,0.0658436213991769,,,,,
Tunisia,,,,,,,1.9,93%,29.3,46.7,2.108
Turkey,17,76.0,25.494183673469383,1147.0492721164617,291.34382284382286,0.0311804008908685,2.0,64%,36.9,42.6,2.843
Turkmenistan,,,29.7012704174229,1030.7495462794918,348.00223713646534,,5.4,80%,,43.9,2.154
Tuvalu,,,28.41333333333333,231.0,215.0,,1.7,,,,
